FIC301,FIC302,LI405,LI502,PT312,VC303,VC401,VC403,VC404,VC405,VC406,VLV303,AirIn,Air.T,Air.P,WaterIn,Water.T,Water.Density,Mixture.zone.P,riser.outlet.P,P.topsep,FR.topsep.gas,FR.topsep.liquid,P_3phase,Air.Valve,Water.level,Water.coalescer,Water.level.valve,water.tank.level,Fault
0,0,1,0,0,0,0,0,0,0,0,0,121.0535965,15.6816597,1.301107049,0.096308529,23.7480793,997.5964966,1.240097046,1.02590704,1.02717495,0.000490892,0.064844906,1.005915999,25.09230995,62.24311066,98.64267731,2.257355928,1.443120956,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.9821014,15.68155956,1.298735023,0.096319817,23.74534988,997.5966187,1.23625195,1.027933955,1.027276993,0.000483339,0.09563908,1.006191969,25.09939003,62.23527908,98.64437103,2.278574944,1.443151951,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.8640976,15.68146992,1.296362042,0.096331112,23.74262047,997.5966187,1.240946054,1.035562992,1.028880954,0.000475787,0.09563908,1.006466985,25.10646057,62.22743988,98.64605713,2.299793005,1.443182945,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.7460022,15.68138027,1.301658988,0.0963424,23.73988914,997.5966797,1.238252044,1.030079007,1.028640032,0.000468235,0.076789193,1.006742954,25.11352921,62.21960831,98.64775848,2.32101202,1.443214059,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.6279984,15.68128967,1.299090028,0.096353687,23.73715973,997.5966797,1.231917977,1.026741982,1.028399944,0.000460683,0.076789193,1.006742954,25.12059975,62.26251984,98.64945221,2.399386883,1.44324398,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.5100021,15.68118954,1.299546957,0.096364982,23.73443031,997.5968018,1.239825964,1.029126048,1.028159022,0.000453131,0.089697011,1.00662601,25.12767982,62.305439,98.65115356,2.477761984,1.443274975,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.3479004,15.68109989,1.300004005,0.09637627,23.7317009,997.5969238,1.235229015,1.02423799,1.027917981,0.000445579,0.089697011,1.006508946,25.13475037,62.34835815,98.65283966,2.556137085,1.443305969,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.0522995,15.68101025,1.297170043,0.096387573,23.72896004,997.5969238,1.233880043,1.019350052,1.027678013,0.000438026,0.104595304,1.006392002,25.14182091,62.31497955,98.65453339,2.556385994,1.443336964,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.8806,15.68091965,1.294335008,0.096398853,23.72623062,997.5969849,1.230252028,1.019827008,1.027436972,0.000430474,0.104595304,1.006275058,25.14888954,62.28160095,98.65622711,2.556633949,1.443367004,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.7375031,15.68083,1.291501045,0.09641014,23.7234993,997.5971069,1.231048942,1.025668979,1.02719605,0.000422922,0.087184377,1.006158948,25.15596008,62.24821854,98.65792847,2.556881905,1.443397999,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.6684036,15.68072987,1.292209029,0.096421443,23.72076988,997.597229,1.237979054,1.031509995,1.026955962,0.00041537,0.087184377,1.006042004,25.16304016,62.21485138,98.65962219,2.557130098,1.443428993,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.5992966,15.68064022,1.292916059,0.096432723,23.97204971,997.597229,1.227924943,1.027933955,1.02671504,0.000407818,0.091463037,1.005925059,25.1701107,62.18146896,98.66132355,2.557379007,1.443459988,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.5038986,15.68054962,1.288851976,0.096444011,23.97204971,997.59729,1.224336028,1.026741982,1.026473999,0.000400265,0.095741697,1.005807996,25.17717934,62.14809036,98.66300964,2.557626963,1.443490982,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.4561996,15.68045998,1.288406968,0.096455313,23.97204971,997.5974121,1.228626013,1.030555964,1.026234031,0.000392713,0.076495796,1.005691051,25.18424988,62.32690048,98.66470337,2.768764019,1.443521023,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.3751984,15.68035984,1.28796196,0.096466593,23.97204971,997.5974121,1.225569963,1.027694941,1.02599299,0.000385161,0.076495796,1.005409956,25.19132996,62.30664063,98.66639709,2.798547029,1.443552017,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.2940979,15.6802702,1.287516952,0.096477881,23.97204971,997.5974731,1.222514987,1.02078104,1.025879979,0.000377609,0.101609297,1.00512898,25.1984005,62.28636932,98.66809082,2.82833004,1.443583012,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.2368011,15.6801796,1.285475969,0.096489184,23.87781906,997.5974731,1.221680999,1.016965985,1.025768042,0.000370057,0.101609297,1.004848003,25.20546913,62.26610947,98.66977692,2.858114004,1.443614006,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.2081985,15.68008995,1.283434987,0.096500456,23.87781906,997.5975952,1.220847964,1.016965985,1.025655985,0.000362505,0.066511206,1.004567027,25.21253967,62.24583817,98.67147827,2.887897015,1.443645,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.1463013,15.68000031,1.281394005,0.096511751,23.87781906,997.5977173,1.218368053,1.015297055,1.025542974,0.000354952,0.066511206,1.004286051,25.21961975,62.22557068,98.673172,2.917680025,1.443675041,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.047699,15.67990017,1.281466007,0.096523046,23.87781906,997.5977173,1.215888023,1.015058994,1.025431037,0.0003474,0.106249198,1.004004955,25.22669029,62.20531082,98.67487335,2.947463036,1.443706036,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.9492035,15.67980957,1.279108047,0.096534327,23.70589066,997.5977783,1.222478986,1.020066023,1.025318027,0.000339848,0.106249198,1.003723979,25.23376083,62.18503952,98.67655945,2.977246046,1.44373703,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.8506012,15.67971992,1.278926969,0.096545622,23.70589066,997.5979004,1.226606011,1.021018982,1.023910046,0.000332296,0.066792168,1.003443003,25.2206192,62.16477966,98.67825317,2.907764912,1.443768024,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.7863007,15.67963028,1.281509995,0.096556917,23.70589066,997.5980225,1.222193956,1.017681003,1.023460984,0.000324744,0.066792168,1.00316298,25.21577072,62.36505127,98.6799469,3.14409399,1.443799019,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.7219009,15.67953014,1.279420018,0.096568197,23.70589066,997.5980225,1.217782021,1.014343977,1.023460984,0.000317191,0.085445732,1.002882004,25.21092033,62.34358978,98.68164063,3.167010069,1.44382906,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.6376038,15.67943954,1.279420018,0.0965795,23.70589066,997.5980835,1.216055036,1.014582038,1.023460984,0.000309639,0.085445732,1.002601027,25.20606995,62.32213974,98.68332672,3.189925909,1.443860054,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.5533981,15.6793499,1.276111007,0.096590787,23.7521801,997.5980835,1.225216985,1.020542979,1.023394942,0.000302087,0.062304109,1.002320051,25.20121956,62.30067825,98.68502808,3.212841034,1.443891048,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.469101,15.67926025,1.279281974,0.096602067,23.7521801,997.5982056,1.221562028,1.016013026,1.022797942,0.000294535,0.062304109,1.002038956,25.19636917,62.27922058,98.6867218,3.235757113,1.443922043,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.4262009,15.67916012,1.279790044,0.09661337,23.7521801,997.5983276,1.217906952,1.011482954,1.022199988,0.000286983,0.092083059,1.001757979,25.19152069,62.3117981,98.68842316,3.315514088,1.443953037,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.3833008,15.67907047,1.277160048,0.096624658,23.7521801,997.5983276,1.214251995,1.011005998,1.021602988,0.000279431,0.092083059,1.001477003,25.1866703,62.34439087,98.69011688,3.395271063,1.443982959,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.4215012,15.67897987,1.274530053,0.096635953,23.7521801,997.5983887,1.214676023,1.012675047,1.021602988,0.000271878,0.056675538,1.001196027,25.18181038,62.37696838,98.69181061,3.475028038,1.444013953,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.3641968,15.67889023,1.276324987,0.09664724,23.87781906,997.5983887,1.222066045,1.017681003,1.021602988,0.000264326,0.056675538,1.000915051,25.17695999,62.39126968,98.6934967,3.53512001,1.444044948,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.3308029,15.67879963,1.278120995,0.096658528,23.87781906,997.5985107,1.218335986,1.016728044,1.021602988,0.000256774,0.100459501,1.000633955,25.1721096,62.40557098,98.69519806,3.595212936,1.444075942,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.3738022,15.67870045,1.274906993,0.096669823,23.87781906,997.5985718,1.214604974,1.013628006,1.021602988,0.000249222,0.100459501,1.000236988,25.16725922,62.41987991,98.69689178,3.655304909,1.444107056,Normal
0,0,1,0,0,0,0,0,0,0,0,0,118.6216965,15.67860985,1.276010036,0.096681111,23.87781906,997.5986938,1.213366985,1.010529041,1.021602988,0.00024167,0.047396731,0.999839485,25.16241074,62.38233185,98.69859314,3.659965038,1.444136977,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.2750015,15.6785202,1.272984028,0.096692398,23.81498909,997.5988159,1.212128997,1.011244059,1.021602988,0.000234117,0.047396731,0.99944222,25.15756035,62.34477997,98.70027924,3.664623976,1.444167972,Normal
0,0,1,0,0,0,0,0,0,0,0,0,119.8996964,15.6784296,1.275545001,0.096703693,23.81498909,997.5988159,1.210891008,1.01196003,1.021602988,0.000226565,0.089376733,0.999045014,25.15270996,62.3072319,98.70197296,3.669284105,1.444198966,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.2525024,15.67833042,1.273694992,0.096714981,23.81498909,997.598877,1.212862015,1.012675047,1.021602988,0.000219013,0.089376733,0.998647809,25.14785957,62.26968002,98.70366669,3.673943996,1.44422996,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.5100021,15.67823982,1.275212049,0.096726269,23.81498909,997.598877,1.219120979,1.013389945,1.021363974,0.000211461,0.088801578,0.998250484,25.14300919,62.26644897,98.70536041,3.703896999,1.444260001,Normal
0,0,1,0,0,0,0,0,0,0,0,0,120.5434036,15.67815018,1.276728034,0.096737564,23.81498909,997.598999,1.21626699,1.019588947,1.020555019,0.000203909,0.051889211,0.997853279,25.13816071,62.2632103,98.70269012,3.733850002,1.444290996,Normal
